"HolderAddress","Balance","PendingBalanceUpdate"
"0x282aaf3097a22194264beff53e8ae8003122b841","87857040.5783533","No"
"0x2994c1854048ab6dc4043254db9f61f4d1a4d469","2574163.19449486","No"
"0x2a7a1e1087ff76c33485479f18f579c2a21c7d42","1752657.12196553","No"
"0x2bad3779b9a236cb6b45f7367448e74c763fdeb9","17718921.6703124","No"
"0x2bc1fdd43db6a3a5027d117cb2e57a20f89cf972","401473.067162747","No"
"0x2c4cf79fea7b80e4c65e3d77501268f5e3bf11ac","37224144.6099319","No"
"0x2c7ba425f07c11fc685fc4f4b82632f9782f4930","3000000","No"
"0x2cb5c2458226c3a5a53cb5b84ee9e7806eb57f13","15603652.2879524","No"
"0x2d74d583c75dc9ecc69e7a7a79df4b3312188c2c","81754326.3358221","No"
"0x2da12910ff53b16cf55688bd1578645646bba748","3873719.15858552","No"
"0x2e24974dbdc9f29789ae10505e8a58caab1be638","782591.181453484","No"
"0x2e2cba71db91853db02ba2e2cd53e5adf050eea9","52020072.2122706","No"
"0x2f4fcabe772f002890c37f5e339f3d9ec8bd01aa","1140000","No"
"0x2f9065f083be22cc3a7bc823601c2f6ecb7f4c94","18320945.161092","No"
"0x2fa5d57251c62f825b4a7acd0c7d094b7e509484","3000000.00000016","No"
"0x303a380d383d628d867c1edb8c2433f4971b88b7","110900.235661062","No"
"0x315cacaa8b9671cad2b5b4a8f880e5891efab21f","0.750509334929957","No"
"0x318eec598da7acecbd5c3a028603dc7393e8772e","23827337.1818112","No"
"0x31ed48b5a1aee896b6f264f8b12f76b108de4d29","3260617.20878018","No"
"0x31ef882dab68318492bceae94993d56d1a34ba1f","3.45575573E-10","No"
"0x321bcb040d3ee8a944176e635a30651fae6ca389","154285","No"
"0x323633d618c5ef2e4b3a1112a2a9941092c3a8b6","0.503501089593653","No"
"0x33a3ccf89ee0b30a2bef337b47dd8896261b41f1","32754061.5554343","No"
"0x34efd26bc24ab23b9a1c8c1326b95cefb328a243","4148924.46572515","No"
"0x365661b9de6255a8ddbfaecfa8fd44f74e146c9c","6412500","No"
"0x3674c393a275e1b60097f43afaf424238b7856dc","0.600989957789767","No"
"0x36c28fcaf92133c823e526da41c1d2ea6421a290","0.915312301372197","No"
