"HolderAddress","Balance","PendingBalanceUpdate"
"0x3ca721c592cfd799e2c818652fcbf4123c26f071","0.724346769730148","No"
"0x3ca9f6dd0ce635b91d027b229cf660c788bd0912","4024794.86264429","No"
"0x3cc9cf93b4d313cc44bd7336e4dbb9f8073a313a","1372803.39476579","No"
"0x3df20771d23f26cf0b96f0f4c8a4656a86962cd1","20621036.0708324","No"
"0x3e27d0cee58273fff8053043963d0c49bf5dfee7","11465769.9688552","No"
"0x416af254880e7b39dbf37d8aa3709f36438a1d8b","2400000","No"
"0x48e57181525e934a2d19972fe67903a6b32ceb64","0.76393046479687","No"
"0x4a333a525d6794abff321ec4af03f8d3dabe4d4c","0.122835716133429","No"
"0x564d1ca1a567d61043ef42a6756815a447962f47","6849683.17224436","No"
"0x5a856716e79098554eb504d52d68fabb574b0509","145067.30456439","No"
"0x5d038a3b35996ea32d017a1f733f8feac5271c7c","1180360.3781927","No"
"0x5f933c715a1b5d5050c31fc5d10a16c9c4cf450e","1791252.07900629","No"
"0x64028a01a264a007c9c6f9c4d6aa693b86a8da35","5434409.10359506","No"
"0x68e88cbeb57a128e2ab76874aa1151894366654c","2981725.32245037","No"
"0x7287e1196792286676163e800203d2d0e2b8588a","0.942009777258856","No"
"0x7434431a5de29e014ae614d5f7f2ba2c609f54f0","0.701189975626996","No"
"0x74bc89a9e831ab5f33b90607dd9eb5e01452a064","5674921.60150478","No"
"0x7da13bddbacd46045b7997856a520bf8708f819a","5869367.32717448","No"
"0x89229f2d99fb6cc47ca6432d26ed81878abdb5e6","6349086.50270907","No"
"0x8ab807e587127de51e94ada904f8b21f81a46b8b","4439969.44678984","No"
"0x8c1b9b9d7e0a1f32864f3a11541097fdaac90ef3","736940.465336066","No"
"0x8f084daf2d9c186c958245601dca829128ca875e","0.157413164320951","No"
"0x904409abc8c6afea50b8a5dee8fa59a412731b3b","404920647.090997","No"
"0x97591cee545ed89b0236eed3e35d364346531d11","14682380.6294054","No"
"0x998d71c4a1255ac176e18715b81b4cb80caa18da","13052643.7403124","No"
"0x9f4bd22cf4393a87f4290ac4f434719a49a1f692","4842663.13639017","No"
"0x9feb3e9bca5dd38d2cd53cf76a73f52afe6c5db9","20060858.5306293","No"
"0x9fff3be9e370545688a283babc09992216cd616f","6662142.72632","No"
"0xa0025b8c1c82be938b668adb6d1107e4b14b3bec","11045878.5257812","No"
"0xa786937aac48d4feeebb0b6c5d76c56f126db406","0.324325117349402","No"
"0xa913751f5ee9a3975c2313b7b8d669e7e43bd7df","15353603.5980579","No"
