"HolderAddress","Balance","PendingBalanceUpdate"
"0x429fe1cdb67b649c3ceaf652f67e24a23f2ecf7c","0.807822918","No"
"0x42cd018e44b2902772db0ec2acd7edf9611b8742","1011576.56615466","No"
"0x42d8f119b7f91f3468c189d002a7a539e5ac1348","66789.9553688","No"
"0x4692304ed33df7fb7a5806f2485227b6c6c8d7d5","86615.282604802","No"
"0x469338b06f5a633422b11f896c19dc2b2e7d4ad2","33893.813996354","No"
"0x47193caadc047c48e425df3046db347a2e09bde8","1028.020804785","No"
"0x48ff30db4734838e1c030b6d5bc34229cde87655","22938.049680889","No"
"0x490d9e694967f8d5a0fc5b7080284192f1dbd673","4220.429025792","No"
"0x49e1a1134594ce1356169c56de0d15b4467a1616","106593.656033473","No"
"0x4ae2798b96277e594cbdf5feb3f9ca8fa7aeca7f","60774.550386346","No"
"0x4badd606278b132961316eb129b8249407e46779","8544.759289416","No"
"0x4d91df5b9a220d13c35449e658d97c97669af240","4281.38605287","No"
"0x4e2d1025165a13f60505ef504af5d99f35aa96ae","35276.607735024","No"
"0x4ea7cf3b45426c2fbc1f045f9a739d7fec437a66","9332.821356738","No"
"0x4efdb7bb05822ee09117e373f7ccac786b5ee2b9","7245.032030291","No"
"0x4f2e9e123f24f88179d7f28b9b29a092b4406fc5","1E-09","No"
"0x4ff4d6fe4240552c208d8802c2d3d7b363aca894","7380.87596177","No"
"0x5194badbdc99cb1c96efd906b68f634387fd8ae3","10390.537345039","No"
"0x5259c612faddf95b88e2ef0d1921c6f756cd41dc","72018.029163433","No"
"0x525d9a2bda77333c0ca10d1ee0f18948b81aa3ad","125020.017660968","No"
"0x52cdfd0851f2dbe8714b1e6610c6632fea36c661","67704.451732147","No"
"0x53222470cdcfb8081c0e3a50fd106f0d69e63f20","1E-09","No"
"0x540b0aa3fea3a2fb3cf94b66d0a9a66542dbeeba","8866.967224634","No"
"0x542ba7e5f37e1c11aafdd9f22de3506991370122","1E-09","No"
"0x54898c4bf96e5dddb02c4f82d143ed33073d6e74","26044.578397039","No"
"0x5557af571309c84ede48634f8ac5636f1a2ee899","0.862728864","No"
"0x55e3c600d811ac901ecb6e62291ed88aa4f0aaa7","4977.490386319","No"
"0x5996f118158a14c5d6f8b3982919bf83134ea2ed","4190.43778528","No"
"0x5b680067b330c3bfa4f3ccb5819335b8494c89ec","47284.870881154","No"
"0x5e3b50666e649056b86956e98b45ecb98f75ee9f","21564.203949329","No"
"0x5f69d7ca4296e9fb5c2ffb5a7f1b9aea99ab2382","166225.608853398","No"
"0x601f66edc9df645454a760aa83fe86d1a6429e89","23092.875939046","No"
"0x61f8d1b79d3aaad18e1861de07dc3a8194d62ec3","50240.373345334","No"
"0x6951040091ab773cb7f82f31d7a5d4d991507d91","6214.727031946","No"
"0x69d5fe1f4045b029e749f556aad4405cd6250cea","107155.446855844","No"
"0x6a2c274f00b2d3edcd0d8bd2ce105231d92e5ee4","16875","No"
"0x6a69a589f3b42cd28dd5a1749806bd96827bf1c7","2550.454524263","No"
"0x6a6b57f0272f94d480c4c3f31e0d5600f128ce5a","179100","No"
"0x6c4bc1d801a5e50407764676b84df770749523b3","146319.29642485","No"
"0x6eb6b71d29900fb7e0b719828352d607f2415d8d","1019.011626038","No"
"0x6ef2ca0ba8c7cef407f916822ad3e7a5bbfc6219","29313.25780729","No"
"0x6f72a0e6c372fd5d7351bbc90be995f644733fab","176688.617330818","No"
"0x6fe2c965dbd611bc579e3c9c7e94aca0ef5068f2","20009.527841193","No"
"0x71b970d9110dc32964dec2b4235267040500cfad","8493.941178248","No"
"0x71f7c5f89ac86feb5ae2af77784b0f23e771c63e","53904.140955047","No"
"0x73637d4b2b9e9bba469fc0ee1608a5c6fe4c339a","80342.697385255","No"
"0x73974fa0518cb57b1e6bf958b53bc3390102e82b","143597.313512089","No"
"0x74ccc8a7bc7be48eab4100ae7252f819b5f0358d","35573.80733798","No"
"0x76a80bb894b65c8b5fc29530d43c5d1fc54f2f99","36975.588570182","No"
"0x773a206ed3b51bf21ede03c4052bce80a791387d","10636.918650108","No"
"0x7768fbc67afecf2b4caee9d1841ad14637d13652","57162.56226012","No"
"0x78f83b41e648e08cdf823c02de0e320fc5f34ca7","1.248147619","No"
"0x795f32455bff94ab86941fecc0c66fc3cfebdac6","18383.997629643","No"
"0x7ffa6b6a154c3faa2f4047b2ac03b9f1a8f77ecd","4180.611763514","No"
"0x812ca6261391d22ec8dafa85f4f5250e206b8ad7","44331.356249343","No"
"0x82d742a36a9c3d2e0260f3342639a6398124e517","3076.169524847","No"
"0x84d99aa569d93a9ca187d83734c8c4a519c4e9b1","0.804577195","No"
"0x89725be27faae3de686d96021d3f0d7d671a52ef","25879.138722099","No"
"0x89ce641bd05e64c06edf7a0fc5e401e6fb733405","20756.334342765","No"
"0x89e07ba40c72d27a2eb1125e0f663e0cb9466e12","8844.913054349","No"
"0x8a3f58faf492c7046f43519789b9c7d68a508e8b","24000","No"
"0x8a6413d14c78cf549c8937e848a7a9f4f2d30b54","1E-09","No"
"0x8b85fe13f3135ddf82411b11e9bd2a4d4a61e5dd","20093.76","No"
"0x8be5a254ae6bf347ca581133643d8b470cc28a66","56545.395225334","No"
"0x8e72a4b144236693f4d1a67800a4d2bc289392cb","60485.107831133","No"
"0x8f5c18252b863a48f84b6b1813ea5b1ef636ec8d","23653.413493282","No"
"0x8f9cdfe3d3df1a193abeb42c1a22be955a9746c8","23040","No"
"0x8ff7df251125542d1a5e8efd0ef675209fbd8ffb","0.240862356","No"
"0x919c6daaceff2a9033c9f6782aa16f89fc7c955c","178200","No"
"0x91d6f23b8213183e7d4d104de34c182f811aec57","4131.406938896","No"
"0x9298f46d7ce0091ce6491472efa534edce5e96d8","11342.834878046","No"
"0x92ae5193afdfdb1ec1a8fa593f6a40f422d0dbc8","15824.781101868","No"
"0x94197eca14c62dccacd8ac3488cf73c81cede8ba","39676.864801294","No"
"0x9419f086c959a0e2a5b58f1501343bcef8fe821f","39218.558295029","No"
"0x94a617c48bc092a7326be5a9ae65364f55f78c2c","14302.138350899","No"
